21|D|B|第一段为什么把赫斯特的拍卖称为“最后的胜利”？|艺术市场接连取得胜利~拍卖师最终以最高价卖出了那两件作品~这场拍卖胜过了所有杰作~它在全球金融危机爆发前夕成功举行|第一段将拍卖成功与雷曼兄弟申请破产放在同一时间点；随后文章转入市场衰退。“last”强调成功发生在危机前夕。|A把重点放在此前多次成功，不能解释“最后”；B把“除两件外都售出”读成“两件最后售出”；C的“胜过所有杰作”没有依据。|解释评价词时，同时看前后的事件关系，尤其是转折与时间对照。|filed for bankruptcy|9
22|A|C|“各类消费都变得十分不合时宜”暗示了什么？|收藏家不再积极参与艺术品拍卖~人们停止了所有消费，不再去画廊~艺术品收藏作为一种时尚大幅失去吸引力~艺术品已过时，因而不值得购买|第三段下一句直接解释：收藏家远离画廊和拍卖场。这对应A的“不再积极参与拍卖”。|B的“所有消费都停止”过于绝对；C把消费低迷偷换成“收藏作为时尚失去吸引力”；D额外推出“不值得购买”，原文没有这种价值判断。|词句含义题优先读紧接着的解释句，别只凭同一个单词配对。|collectors stayed away|12
23|B|A|以下哪项说法不正确？|2007至2008年当代艺术品销售额大幅下降~艺术市场的增长势头超过了许多其他行业~艺术市场在多方面普遍下滑~部分艺术品交易者正在等待更好的时机|第二段说艺术市场已失去增长势头；它超过规模的，是引发的关注，而非增长势头。B偷换了比较对象。|A对应销售额大幅下滑；C概括规模、销量和价格的下降；D对应末段等待信心恢复。它们都有依据。|先圈出NOT，再检查比较句到底在比较什么：关注度不等于增长速度。|generates interest|13
24|C|B|末段的“三个D”是什么？|拍卖行的最爱~当代趋势~推动艺术品流通的因素~代表印象派的风格|death、debt和divorce分别是死亡、债务与离婚。原文说这些情况仍会把作品带到市场，即促使持有人出售艺术品。|A的“最爱”属于主观添加；B只说“当代趋势”太笼统且无依据；D与三个词的含义无关。|读不熟悉的简称时，先看同位解释，再看它作主语时带出的动作。|The three Ds|14
25|C|C|最合适的标题是什么？|艺术品价格的波动~最新艺术拍卖~衰退中的艺术品市场~对艺术的兴趣发生转移|文章从最后一次成功拍卖写到市场规模、销售和价格下降，再写卖家的观望。C能覆盖全文的共同主题。|A只抓价格这一局部；B只覆盖开头的拍卖事件；D把经济衰退下的交易减少误读为审美兴趣转移。|标题须同时涵盖主题对象和全文方向，不能只概括一个例子。|current downturn|14
26|A|A|大多数妻子对丈夫最主要的期待是什么？|和她们交谈~信任她们~支持她们的事业~分担家务|第四段的first and foremost明确标出优先级：妻子首先希望丈夫成为交谈伙伴。A是直接改写。|B无对应依据；C和D涉及事业、家务，但作者用not...Instead...说明这些不是此处最集中的抱怨。|看到first and foremost、main、most等词，优先寻找作者明确排序的表达。|conversational partners|21
27|C|C|短语wreaking havoc在上下文中是什么意思？|产生动力~施加影响~造成损害~制造压力|第二段把夫妻沟通模式与婚姻问题联系起来，随后举出离婚和沟通失败。短语强调严重破坏，对应C。|B的“影响”没有体现负面性质；D虽然负面，但“压力”弱化了破坏结果；A与语气相反。|利用后文的结果判断陌生短语的情感方向和程度。|wreaking havoc|18
28|B|D|以下说法中哪一项不符合原文？|男性在公共场合往往比女性话多~近50%的近期离婚由沟通失败造成~女性很重视夫妻沟通~女性在家中往往比配偶话多|近50%修饰的是总体离婚率，原文没有说“离婚案例中有50%由沟通失败造成”。B更换了比例所对应的群体。|A对应第二段的公共场合比较；C对应受访妻子的沟通诉求；D与家中男性少言、女性维持谈话的描述相符。|遇到百分比，写清楚“什么占什么的百分之几”，检查分母有没有被换掉。|Given the current divorce rate|20
29|D|A|哪一项最能概括本文主旨？|道德衰败值得社会学家进一步研究~婚姻破裂源于性别不平等~夫妻对婚姻抱有不同期待~夫妻双方的交谈模式不同|全文围绕男性在外健谈、在家沉默，与妻子希望沟通之间的差异展开。D紧扣交谈模式这一中心。|A的“道德衰败”未被讨论；B抓住作者排除的具体不平等；C的“对婚姻的期待”范围过大，没有限定在本文反复讨论的交谈。|主旨优先选择既覆盖全文又不超出讨论范围的选项。|This episode crystallizes|22
30|B|C|本文之后作者最可能接着写什么？|详细介绍新书《离婚谈》~具体描述那幅典型漫画~介绍美国离婚率高的其他可能原因~简要介绍政治学家哈克|结尾引入了能代表危机的漫画场景。最自然的衔接是继续展开这个刚提出的场景，对应B。|A和D是前文已出现的背景信息；C跳离结尾的具体话题，缺少引出“其他原因”的过渡。|预测下文时优先依据末段的新话题和未展开的信息，避免凭全文主题自由联想。|stereotypical cartoon|22
31|A|A|柯蒂斯博士如何看待用肥皂洗手等习惯？|应该进一步培养~应该逐步改变~深深植根于历史~基本属于私人事务|她指出不洗手带来的卫生问题仍在致人死亡，并希望向企业学习如何形成自动行为。因此良好的洗手习惯需要培养。|B把要改变的不良行为与要培养的良好习惯混为一谈；C没有历史依据；D与public health的公共卫生语境不符。|区分要改变的坏习惯与要建立的好习惯，明确动作指向。|soap habit|27
