@1|艺术品市场的衰退
The longest bull run in a century of art-market history ended on a dramatic note with a sale of 56 works by Damien Hirst, Beautiful Inside My Head Forever, at Sotheby's in London on September 15th 2008.|2008年9月15日，达米恩·赫斯特的56件作品以“美丽永驻我心”为名在伦敦苏富比拍卖，艺术市场百年来持续时间最长的牛市以戏剧性的方式落幕。
All but two pieces sold, fetching more than £70m, a record for a sale by a single artist.|除两件外，作品全部售出，成交额超过七千万英镑，创下单一艺术家拍卖纪录。
It was a last victory.|这是最后一次胜利。
As the auctioneer called out bids, in New York one of the oldest banks on Wall Street, Lehman Brothers, filed for bankruptcy.|就在拍卖师喊价时，纽约华尔街历史最悠久的银行之一雷曼兄弟申请了破产。

The world art market had already been losing momentum for a while after rising bewilderingly since 2003.|全球艺术市场自2003年以来经历了令人眼花缭乱的上涨后，增长势头其实已经减弱了一段时间。
At its peak in 2007 it was worth some $65 billion, reckons Clare McAndrew, founder of Arts Economics, a research firm — double the figure five years earlier.|研究机构Arts Economics创始人克莱尔·麦克安德鲁估计，市场在2007年达到顶峰，规模约为650亿美元，是五年前的两倍。
Since then it may have come down to $50 billion.|此后，市场规模可能已经降至500亿美元。
But the market generates interest far beyond its size because it brings together great wealth, enormous egos, greed, passion and controversy in a way matched by few other industries.|不过，这个市场引起的关注远超其规模，因为它以其他行业很难比拟的方式，将巨额财富、极度自负、贪婪、激情和争议聚在一起。

In the weeks and months that followed Mr. Hirst's sale, spending of any sort became deeply unfashionable.|赫斯特的拍卖结束后的数周乃至数月里，各类消费都变得十分不合时宜。
In the art world that meant collectors stayed away from galleries and salerooms.|在艺术界，这意味着收藏家不再光顾画廊和拍卖场。
Sales of contemporary art fell by two-thirds, and in the most overheated sector, they were down by nearly 90% in the year to November 2008.|当代艺术品销售额下降了三分之二；在市场最过热的领域，截至2008年11月的一年里，降幅接近90%。
Within weeks the world's two biggest auction houses, Sotheby's and Christie's, had to pay out nearly $200m in guarantees to clients who had placed works for sale with them.|短短数周内，全球最大的两家拍卖行苏富比和佳士得，不得不向委托其出售作品的客户支付近两亿美元的担保款。

The current downturn in the art market is the worst since the Japanese stopped buying Impressionists at the end of 1989.|目前艺术市场的衰退，是自日本买家于1989年底停止购买印象派作品以来最严重的一次。
This time experts reckon that prices are about 40% down on their peak on average, though some have been far more fluctuant.|专家估计，这次价格比峰值平均下跌约40%，不过部分作品的价格波动要大得多。
But Edward Dolman, Christie's chief executive, says: “I'm pretty confident we're at the bottom.”|但佳士得首席执行官爱德华·多尔曼说：“我相当确信，我们已经处于谷底了。”

What makes this slump different from the last, he says, is that there are still buyers in the market.|他说，这次衰退与上一次不同之处在于，市场上仍然有买家。
Almost everyone who was interviewed for this special report said that the biggest problem at the moment is not a lack of demand but a lack of good work to sell.|几乎所有接受本篇专题报道采访的人都表示，目前最大的问题并非缺乏需求，而是缺少可供出售的好作品。
The three Ds — death, debt and divorce — still deliver works of art to the market.|死亡、债务和离婚这三个以D开头的因素，仍会促使艺术品流入市场。
But anyone who does not have to sell is keeping away, waiting for confidence to return.|但没有迫切出售需求的人都在观望，等待市场信心恢复。
@2|婚姻中的沟通差异
I was addressing a small gathering in a suburban Virginia living room — a women's group that had invited men to join them.|我曾在弗吉尼亚郊区一户人家的客厅里，向一个小型聚会发表讲话；这是一个邀请了男性参加的女性团体。
Throughout the evening, one man had been particularly talkative, frequently offering ideas and anecdotes, while his wife sat silently beside him on the couch.|整个晚上，一名男子格外健谈，不断发表意见、讲述趣事，而他的妻子默默地坐在他旁边的沙发上。
Toward the end of the evening, I commented that women frequently complain that their husbands don't talk to them.|聚会快结束时，我谈到女性常常抱怨丈夫不和她们说话。
This man quickly nodded in agreement.|这名男子立刻点头表示赞同。
He gestured toward his wife and said, “She's the talker in our family.”|他指向妻子说：“在我们家，她才是爱说话的人。”
The room burst into laughter; the man looked puzzled and hurt.|屋里的人突然大笑起来；那名男子显得困惑又委屈。
“It's true,” he explained.|“这是真的，”他解释道。
“When I come home from work I have nothing to say.|“我下班回到家就没什么话可说了。
If she didn't keep the conversation going, we'd spend the whole evening in silence.”|要不是她一直找话说，我们整个晚上都会一言不发。”

This episode crystallizes the irony that although American men tend to talk more than women in public situations, they often talk less at home.|这个片段鲜明地呈现出一种反差：美国男性在公共场合往往比女性话多，在家里却常常话少。
And this pattern is wreaking havoc with marriage.|而这种模式正对婚姻造成严重损害。

The pattern was observed by political scientist Andrew Hacker in the late 1970s.|政治学家安德鲁·哈克在20世纪70年代末就注意到了这种模式。
Sociologist Catherine Kohler Riessman reports in her new book Divorce Talk that most of the women she interviewed — but only a few of the men — gave lack of communication as the reason for their divorces.|社会学家凯瑟琳·科勒·里斯曼在新书《离婚谈》中指出，受访女性大多把缺乏沟通作为离婚原因，而男性中只有少数这样说。
Given the current divorce rate of nearly 50 percent, that amounts to millions of cases in the United States every year — a virtual epidemic of failed conversation.|考虑到目前接近50%的离婚率，这在美国每年就涉及数百万个案例，几乎成了一场沟通失败的流行病。

In my own research, complaints from women about their husbands most often focused not on tangible inequities such as having given up the chance for a career to accompany a husband to his, or doing far more than their share of daily life-support work like cleaning, cooking and social arrangements.|在我自己的研究中，女性对丈夫的抱怨大多不集中于具体的不平等，比如放弃自己的事业陪伴丈夫发展，或在打扫、做饭、安排社交等日常事务中承担远超应有份额的劳动。
Instead, they focused on communication: “He doesn't listen to me.” “He doesn't talk to me.”|相反，她们关注的是沟通：“他不听我说话。”“他不和我说话。”
I found, as Hacker observed years before, that most wives want their husbands to be, first and foremost, conversational partners, but few husbands share this expectation of their wives.|正如哈克多年前观察到的，我发现多数妻子首先希望丈夫是能与自己交谈的伙伴，但很少有丈夫对妻子抱有同样的期待。

In short, the image that best represents the current crisis is the stereotypical cartoon scene of a man sitting at the breakfast table with a newspaper held up in front of his face, while a woman glares at the back of it, wanting to talk.|简而言之，最能表现当前危机的，是这样一幅典型漫画：男人坐在早餐桌前，举着报纸遮住脸；女人怒视着报纸的背面，想要说话。
