1|D|B|被世卫组织认定的全球性流行病|批评~任命~评论~认定、指定|epidemic与designated构成被动关系，后面的by the World Health Organization说明认定者。|appointed一般用于任命人员担任职务；criticized与commented不表达宣布疫情性质，comment还常需介词on。|先看空格修饰的名词，再判断动词与该名词能否搭配。|first worldwide|1
2|C|A|提高警戒级别与紧急会议的先后关系|继续、进行~激活~在……之后发生~促使|主语是heightened alert；提高警戒级别发生在专家开会之后，followed表示“随后发生”。|proceed是不及物用法为主，不能在这里直接接会议表示发生在其后；prompted会颠倒文中会议与警戒升级的先后关系；activated不搭配meeting。|先用中文排列事件顺序，再把主语代回动词。|heightened alert|2
3|B|B|病例数量上升|数字、数位~数量~数量、总量~金额、总和|前面是cases，后面用numbers承接可数的病例数；rising numbers表示数量上升。|digits指0—9等数字符号；amounts通常搭配不可数名词；sums常表示金额或总和。|数字类选项要区分“数字符号”和“事物的数量”。|heightened alert|2
4|A|C|疫情的严重程度如何|温和的、适度的~正常的~不寻常的~极端的|But与前文疫情警报构成转折，后面又说症状轻微、完全康复，因此严重程度属moderate。|unusual没有回答严重程度；extreme与mild symptoms矛盾；normal也不如moderate准确地描述严重程度。|用后文的症状与结果反推前面的评价词。|overwhelming majority|3
5|A|C|补充说明患者的状况|随着、在……情况下~在……之中~来自~通过、被|with + the overwhelming majority of patients + experiencing构成with复合结构，补充说明多数患者的情况。|from不构成这里的名词加分词补充结构；in和by也不能自然接出句中这个结构。|看到“名词 + 现在分词”，检查是否需要with复合结构。|overwhelming majority|3
6|B|B|没有医疗处理时也能康复|进展~缺乏、不存在~存在~支持、赞同|in the absence of意为“在没有……的情况下”，呼应症状轻微且完全康复。|presence方向相反；in favor of表示支持；progress不适合这一固定搭配。|将固定短语作为整体记忆：in the absence of。|overwhelming majority|3
7|D|B|疫情引起全球关注|现实~现象~概念~注意、关注|come to someone's notice表示引起某人的注意，global notice在这里指全球关注。|phenomenon虽然与疫情语义相关，却不能组成came to global phenomenon；reality和concept同样不符合此处搭配。|不要只选话题相关词，还要把前后介词组成完整搭配。|came to global|4
8|C|C|健康成年人中出现住院和死亡病例|在……上方~为了~在……之中~到、向|among引出病例发生的人群：在原本健康的成年人当中。|over、for和to均不能在这里表达群体内部发生病例的关系。|先识别空后是地点、原因还是人群。|hospitalizations and deaths|4
9|B|B|病例开始在其他地方出现|熬夜~突然出现~填满~掩盖|crop up意为出现、冒出，主语是cases，表示病例在多地开始出现。|stay up意为熬夜；fill up是装满；cover up是掩盖，均不合病例出现的语境。|将不熟悉的短语放进“主语 + 动作”的简单句。|cases began|4
10|A|A|随着天气转暖病例减少|随着、当……时~如果~除非~直到|as引导时间状语从句，表示天气转暖的同时，新病例似乎逐渐减少。|if和unless引入假设，而原文叙述已发生情况；until表示持续到某时，不如as贴合伴随变化。|两个变化同时推进时留意as表示“随着”。|warmer weather|4
11|C|B|几乎各州都有明显的流感活动|过度的~巨大的~显著的~壮丽的、极好的|significant flu activity指明显、显著的流感活动，与前面的seemed to fade形成反差。|enormous常强调体量极大；excessive含超出适当限度的评价；magnificent带褒义，均不如此处significant贴切。|程度词既要看强弱，也要看名词搭配与褒贬。|officials reported|5
